Violation_ID,Source,Target,Cycle
32,C2015799,C4721453,C2015799 -> C0027765 -> C0027868 -> C4721453 -> C0027765 -> C2015799
33,C2015799,C0869054,C2015799 -> C0027765 -> C0869054 -> C0027765 -> C2015799
34,C2015799,C0158352,C2015799 -> C0027765 -> C0027868 -> C0026848 -> C0158352 -> C0026848 -> C2015799
35,C2015799,C0026848,C2015799 -> C0027765 -> C0027868 -> C0026848 -> C2015799
36,C2015799,C0027868,C2015799 -> C0027765 -> C0027868 -> C2015799
37,C2015799,C0027765,C2015799 -> C0027765 -> C2015799
38,C2015799,C0442874,C2015799 -> C0027765 -> C0027868 -> C4721453 -> C0442874 -> C0027765 -> C2015799
39,C0000737,C0476288,C0000737 -> C0476288 -> C0012242 -> C0013395 -> C0221490 -> C0232492 -> C0000737
40,C0000737,C0947624,C0000737 -> C0947624 -> C0017178 -> C0013395 -> C0221490 -> C0232492 -> C0000737
41,C0000737,C0494741,C0000737 -> C0017178 -> C0013395 -> C0494741 -> C0012242 -> C0013395 -> C0221490 -> C0232492 -> C0000737
42,C0000737,C0232492,C0000737 -> C0017178 -> C0013395 -> C0221490 -> C0232492 -> C0000737
43,C0000737,C0729555,C0000737 -> C0017178 -> C4082764 -> C0729555 -> C0017178 -> C0013395 -> C0221490 -> C0232492 -> C0000737
44,C0000737,C0232459,C0000737 -> C0017178 -> C0013395 -> C0232459 -> C0013395 -> C0221490 -> C0232492 -> C0000737
45,C0000737,C0221490,C0000737 -> C0017178 -> C0013395 -> C0221490 -> C0232492 -> C0000737
46,C0000737,C0013395,C0000737 -> C0017178 -> C0013395 -> C0221490 -> C0232492 -> C0000737
47,C0000737,C0232493,C0000737 -> C0017178 -> C0013395 -> C0221490 -> C0232492 -> C0232493 -> C0000737
48,C0000737,C0037089,C0000737 -> C0687713 -> C0426576 -> C0037089 -> C0017178 -> C0013395 -> C0221490 -> C0232492 -> C0000737
49,C0000737,C0156086,C0000737 -> C0017178 -> C0013395 -> C0156086 -> C0017178 -> C0013395 -> C0221490 -> C0232492 -> C0000737
50,C0000737,C0017178,C0000737 -> C0017178 -> C0013395 -> C0221490 -> C0232492 -> C0000737
51,C0000737,C0947625,C0000737 -> C0947625 -> C0017178 -> C0013395 -> C0221490 -> C0232492 -> C0000737
52,C0000737,C0559031,C0000737 -> C0017178 -> C0013395 -> C0392176 -> C0156084 -> C0559031 -> C0017178 -> C0013395 -> C0221490 -> C0232492 -> C0000737
53,C0000737,C0426576,C0000737 -> C0687713 -> C0426576 -> C0037089 -> C0017178 -> C0013395 -> C0221490 -> C0232492 -> C0000737
54,C0000737,C0156084,C0000737 -> C0017178 -> C0013395 -> C0392176 -> C0156084 -> C0559031 -> C0017178 -> C0013395 -> C0221490 -> C0232492 -> C0000737
55,C0000737,C0348731,C0000737 -> C0017178 -> C0013395 -> C0392176 -> C0348731 -> C0494741 -> C0012242 -> C0013395 -> C0221490 -> C0232492 -> C0000737
56,C0000737,C0038354,C0000737 -> C0017178 -> C0013395 -> C0392176 -> C0156084 -> C0038354 -> C0017178 -> C0013395 -> C0221490 -> C0232492 -> C0000737
57,C0000737,C0235295,C0000737 -> C0235295 -> C0017178 -> C0013395 -> C0221490 -> C0232492 -> C0000737
58,C0000737,C4082764,C0000737 -> C0017178 -> C4082764 -> C0017178 -> C0013395 -> C0221490 -> C0232492 -> C0000737
59,C0000737,C0392176,C0000737 -> C0017178 -> C0013395 -> C0392176 -> C0232459 -> C0013395 -> C0221490 -> C0232492 -> C0000737
60,C0000737,C0012242,C0000737 -> C0476288 -> C0012242 -> C0013395 -> C0221490 -> C0232492 -> C0000737
61,C0000737,C0232487,C0000737 -> C0232487 -> C0017178 -> C0013395 -> C0221490 -> C0232492 -> C0000737
62,C0000737,C0687713,C0000737 -> C0687713 -> C0017178 -> C0013395 -> C0221490 -> C0232492 -> C0000737
63,C0038358,C0037299,C0038358 -> C0041582 -> C0494891 -> C0037299 -> C0157738 -> C0333297 -> C0038358
64,C0038358,C0494891,C0038358 -> C0041582 -> C0494891 -> C0037299 -> C0157738 -> C0333297 -> C0038358
65,C0038358,C0333297,C0038358 -> C0041582 -> C0157738 -> C0333297 -> C0038358
66,C0038358,C0157738,C0038358 -> C0041582 -> C0157738 -> C0333297 -> C0038358
67,C0038358,C0030920,C0038358 -> C0030920 -> C0041582 -> C0157738 -> C0333297 -> C0038358
68,C0038358,C0041582,C0038358 -> C0041582 -> C0157738 -> C0333297 -> C0038358
69,C3185082,C4740770,C3185082 -> C4740770 -> C3185082
70,C0000772,C0495643,C0000772 -> C0495643 -> C0000772
71,C0012706,C0013415,C0012706 -> C0525045 -> C0011581 -> C0013415 -> C0012706
72,C0012706,C0525045,C0012706 -> C0525045 -> C0011581 -> C0013415 -> C0012706
73,C0012706,C0010598,C0012706 -> C0525045 -> C0011581 -> C0013415 -> C0010598 -> C0001723 -> C0011581 -> C0013415 -> C0012706
74,C0012706,C0001723,C0012706 -> C0525045 -> C0011581 -> C0349217 -> C1269683 -> C0001723 -> C0011581 -> C0013415 -> C0012706
75,C0012706,C0011581,C0012706 -> C0525045 -> C0011581 -> C0013415 -> C0012706
76,C0012706,C2362914,C0012706 -> C0525045 -> C0011581 -> C0013415 -> C1269683 -> C2362914 -> C0525045 -> C0011581 -> C0013415 -> C0012706
77,C0012706,C0005586,C0012706 -> C0525045 -> C0011581 -> C0013415 -> C0010598 -> C0005586 -> C0001723 -> C0011581 -> C0013415 -> C0012706
78,C0012706,C0349217,C0012706 -> C0525045 -> C0011581 -> C0349217 -> C1269683 -> C0012706
79,C0012706,C0005587,C0012706 -> C0525045 -> C0011581 -> C0013415 -> C0010598 -> C0005586 -> C0005587 -> C2362914 -> C0525045 -> C0011581 -> C0013415 -> C0012706
80,C0012706,C1269683,C0012706 -> C0525045 -> C0011581 -> C0349217 -> C1269683 -> C0012706
81,C0027765,C0549469,C0027765 -> C0027868 -> C4721453 -> C0549469 -> C0027765
82,C0027765,C4721453,C0027765 -> C0027868 -> C4721453 -> C0027765
83,C0027765,C0869054,C0027765 -> C0869054 -> C0027765
84,C0027765,C2015799,C0027765 -> C2015799 -> C0027765
85,C0027765,C0158352,C0027765 -> C0027868 -> C0026848 -> C0158352 -> C0026848 -> C0027765
86,C0027765,C0026848,C0027765 -> C0027868 -> C0026848 -> C0027765
87,C0027765,C0027868,C0027765 -> C0027868 -> C0027765
88,C0027765,C0442874,C0027765 -> C0027868 -> C4721453 -> C0442874 -> C0027765
89,C0042373,C0034066,C0042373 -> C0034065 -> C0494584 -> C0524702 -> C0034066 -> C0178272 -> C0042373
90,C0042373,C0040053,C0042373 -> C0042487 -> C0040053 -> C0042373
91,C0042373,C0013922,C0042373 -> C0034065 -> C0013922 -> C0042373
92,C0042373,C0013924,C0042373 -> C0034065 -> C0013922 -> C0013924 -> C0155764 -> C0042373
93,C0042373,C1704213,C0042373 -> C0034065 -> C1704213 -> C0042373
94,C0042373,C1096458,C0042373 -> C0034065 -> C0013922 -> C1096458 -> C0042373
95,C0042373,C0155764,C0042373 -> C0034065 -> C0013922 -> C0013924 -> C0155764 -> C0042373
96,C0042373,C0034065,C0042373 -> C0034065 -> C0042373
97,C0042373,C0178272,C0042373 -> C0034065 -> C0494584 -> C0524702 -> C0034066 -> C0178272 -> C0042373
98,C0042373,C0524702,C0042373 -> C0034065 -> C0494584 -> C0524702 -> C0034065 -> C0042373
99,C0042373,C0494584,C0042373 -> C0034065 -> C0494584 -> C0524702 -> C0034065 -> C0042373
100,C0042373,C0040038,C0042373 -> C0034065 -> C0013922 -> C0013924 -> C0040038 -> C0042373
101,C0042373,C0042487,C0042373 -> C0042487 -> C0042373
102,C0175735,C0181791,C0175735 -> C0181854 -> C0181791 -> C0181854 -> C0181425 -> C0175735
103,C0175735,C0181854,C0175735 -> C0181854 -> C0181425 -> C0175735
104,C0175735,C0181426,C0175735 -> C0181854 -> C0181426 -> C0175735
105,C0175735,C0183153,C0175735 -> C0181854 -> C0181788 -> C0183153 -> C0175735
106,C0175735,C0181788,C0175735 -> C0181854 -> C0181788 -> C0183153 -> C0175735
107,C0175735,C0183933,C0175735 -> C0181854 -> C0183933 -> C0181854 -> C0181425 -> C0175735
108,C0175735,C0181425,C0175735 -> C0181854 -> C0181425 -> C0175735
109,C0175735,C0181790,C0175735 -> C0181854 -> C0181790 -> C0175735
110,C0175735,C0183935,C0175735 -> C0181854 -> C0183935 -> C0181854 -> C0181425 -> C0175735
111,C0042790,C0547030,C0042790 -> C0547030 -> C0042790
112,C0042790,C0497217,C0042790 -> C0015397 -> C0497217 -> C0015397 -> C0042790
113,C0042790,C0015397,C0042790 -> C0015397 -> C0042790
114,C0016735,C0008683,C0016735 -> C0008683 -> C0016735
115,C0008683,C0016735,C0008683 -> C0016735 -> C0008683
116,C0000770,C0040427,C0000770 -> C0040427 -> C0000770
117,C0000770,C0494698,C0000770 -> C0040427 -> C0494698 -> C0040427 -> C0000770
118,C0157669,C0022927,C0157669 -> C0022927 -> C0157669
119,C0494043,C0034686,C0494043 -> C0034686 -> C0494043
120,C0036079,C0036077,C0036079 -> C0036075 -> C0036077 -> C0036079
121,C0036079,C0036075,C0036079 -> C0036075 -> C0036079
122,C0011581,C0013415,C0011581 -> C0013415 -> C0011581
123,C0011581,C0012706,C0011581 -> C0013415 -> C0012706 -> C0525045 -> C0011581
124,C0011581,C0525045,C0011581 -> C0349217 -> C1269683 -> C0525045 -> C0011581
125,C0011581,C0010598,C0011581 -> C0013415 -> C0010598 -> C0525045 -> C0011581
126,C0011581,C0001723,C0011581 -> C0349217 -> C1269683 -> C0001723 -> C0011581
127,C0011581,C2362914,C0011581 -> C0013415 -> C1269683 -> C2362914 -> C0525045 -> C0011581
128,C0011581,C0005586,C0011581 -> C0013415 -> C0010598 -> C0005586 -> C0525045 -> C0011581
129,C0011581,C0349217,C0011581 -> C0349217 -> C0011581
130,C0011581,C0005587,C0011581 -> C0013415 -> C0010598 -> C0005586 -> C0005587 -> C2362914 -> C0525045 -> C0011581
131,C0011581,C1269683,C0011581 -> C0013415 -> C1269683 -> C0525045 -> C0011581
132,C0478070,C0749794,C0478070 -> C0749794 -> C5574688 -> C0478070
133,C0478070,C5574688,C0478070 -> C0749794 -> C5574688 -> C0478070
134,C4721453,C0549469,C4721453 -> C0549469 -> C0027868 -> C4721453
135,C4721453,C0869054,C4721453 -> C0027765 -> C0869054 -> C0027765 -> C0027868 -> C4721453
136,C4721453,C2015799,C4721453 -> C0027765 -> C2015799 -> C0027765 -> C0027868 -> C4721453
137,C4721453,C0158352,C4721453 -> C0027868 -> C0026848 -> C0158352 -> C0026848 -> C0027868 -> C4721453
138,C4721453,C0026848,C4721453 -> C0027868 -> C0026848 -> C0027868 -> C4721453
139,C4721453,C0027868,C4721453 -> C0027868 -> C4721453
140,C4721453,C0027765,C4721453 -> C0027765 -> C0027868 -> C4721453
141,C4721453,C0442874,C4721453 -> C0442874 -> C4721453
142,C0497500,C0156311,C0497500 -> C0156311 -> C0017412 -> C0497500
143,C0497500,C0017412,C0497500 -> C0156311 -> C0017412 -> C0497500
144,C0496143,C0347928,C0496143 -> C0347928 -> C0496143
145,C0037274,C0162820,C0037274 -> C0011603 -> C0162820 -> C0011616 -> C0009833 -> C0037274
146,C0037274,C0037278,C0037274 -> C0011603 -> C0406047 -> C0034212 -> C0037278 -> C0037274
147,C0037274,C0034212,C0037274 -> C0011603 -> C0406047 -> C0034212 -> C0037278 -> C0037274
148,C0037274,C0011616,C0037274 -> C0011603 -> C0162820 -> C0011616 -> C0009833 -> C0037274
149,C0037274,C0011603,C0037274 -> C0011603 -> C0037274
150,C0037274,C0009833,C0037274 -> C0011603 -> C0162820 -> C0011616 -> C0009833 -> C0037274
151,C0037274,C0585186,C0037274 -> C0011603 -> C0162820 -> C0011616 -> C0585186 -> C0037274
152,C0037274,C0406047,C0037274 -> C0011603 -> C0406047 -> C0037274
153,C0497278,C0016658,C0497278 -> C0016658 -> C0497278
154,C0678723,C0678726,C0678723 -> C0013936 -> C0678726 -> C0678723
155,C0678723,C0013935,C0678723 -> C0013936 -> C0013935 -> C0814007 -> C0678723
156,C0678723,C0032979,C0678723 -> C0013936 -> C0032979 -> C0814007 -> C0678723
157,C0678723,C0814007,C0678723 -> C0013936 -> C0013935 -> C0814007 -> C0678723
158,C0678723,C0013936,C0678723 -> C0013936 -> C0015928 -> C0678723
159,C0678723,C0015928,C0678723 -> C0013936 -> C0015928 -> C0678723
160,C0013936,C0678726,C0013936 -> C0678726 -> C0678723 -> C0013936
161,C0013936,C0013935,C0013936 -> C0013935 -> C0814007 -> C0678723 -> C0013936
162,C0013936,C0032979,C0013936 -> C0032979 -> C0814007 -> C0678723 -> C0013936
163,C0013936,C0814007,C0013936 -> C0032979 -> C0814007 -> C0678723 -> C0013936
164,C0013936,C0678723,C0013936 -> C0015928 -> C0678723 -> C0013936
165,C0013936,C0015928,C0013936 -> C0015928 -> C0678723 -> C0013936
166,C0151435,C2889493,C0151435 -> C2889493 -> C0151435
167,C0036077,C0036079,C0036077 -> C0036079 -> C0036075 -> C0036077
168,C0036077,C0036075,C0036077 -> C0036079 -> C0036075 -> C0036077
169,C0042384,C0031036,C0042384 -> C0477584 -> C0031036 -> C0042384
170,C0042384,C0477584,C0042384 -> C0477584 -> C0031036 -> C0042384
171,C0042384,C0003860,C0042384 -> C0003860 -> C0042384
172,C0041327,C0494034,C0041327 -> C0494034 -> C0041327
173,C0041327,C0519095,C0041327 -> C0494034 -> C0152554 -> C0152552 -> C0519095 -> C0041327
174,C0041327,C0152552,C0041327 -> C0494034 -> C0152554 -> C0152552 -> C0041327
175,C0041327,C0152554,C0041327 -> C0494034 -> C0152554 -> C0041327
176,C0273934,C0015395,C0273934 -> C0015395 -> C0273934
177,C0273934,C2911661,C0273934 -> C2911661 -> C0015395 -> C0273934
178,C2911661,C0273934,C2911661 -> C0015395 -> C0273934 -> C2911661
179,C2911661,C0015395,C2911661 -> C0015395 -> C0273934 -> C2911661
180,C0178288,C0042075,C0178288 -> C0042075 -> C0178288
181,C0018338,C0027303,C0018338 -> C0018346 -> C0018328 -> C0027303 -> C0597067 -> C0042010 -> C0041921 -> C0034288 -> C0018338
182,C0018338,C0018346,C0018338 -> C0018346 -> C0018328 -> C0027303 -> C0597067 -> C0042010 -> C0041921 -> C0034288 -> C0018338
183,C0018338,C0040079,C0018338 -> C0018346 -> C0018328 -> C0027303 -> C0597067 -> C0042010 -> C0041921 -> C0040079 -> C0034288 -> C0018338
184,C0018338,C0018328,C0018338 -> C0018346 -> C0018328 -> C0027303 -> C0597067 -> C0042010 -> C0041921 -> C0034288 -> C0018338
185,C0018338,C0034288,C0018338 -> C0018346 -> C0018328 -> C0027303 -> C0597067 -> C0042010 -> C0041921 -> C0034288 -> C0018338
186,C0018338,C0041921,C0018338 -> C0018346 -> C0018328 -> C0027303 -> C0597067 -> C0042010 -> C0041921 -> C0034288 -> C0018338
187,C0018338,C0597067,C0018338 -> C0018346 -> C0018328 -> C0027303 -> C0597067 -> C0042010 -> C0041921 -> C0034288 -> C0018338
188,C0018338,C0042010,C0018338 -> C0018346 -> C0018328 -> C0027303 -> C0597067 -> C0042010 -> C0041921 -> C0034288 -> C0018338
189,C0042010,C0027303,C0042010 -> C0041921 -> C0034288 -> C0018338 -> C0018346 -> C0018328 -> C0027303 -> C0597067 -> C0042010
190,C0042010,C0018346,C0042010 -> C0041921 -> C0034288 -> C0018338 -> C0018346 -> C0018328 -> C0027303 -> C0597067 -> C0042010
191,C0042010,C0040079,C0042010 -> C0041921 -> C0040079 -> C0034288 -> C0018338 -> C0018346 -> C0018328 -> C0027303 -> C0597067 -> C0042010
192,C0042010,C0018328,C0042010 -> C0041921 -> C0034288 -> C0018338 -> C0018346 -> C0018328 -> C0027303 -> C0597067 -> C0042010
193,C0042010,C0034288,C0042010 -> C0041921 -> C0034288 -> C0018338 -> C0018346 -> C0018328 -> C0027303 -> C0597067 -> C0042010
194,C0042010,C0041921,C0042010 -> C0041921 -> C0034288 -> C0018338 -> C0018346 -> C0018328 -> C0027303 -> C0597067 -> C0042010
195,C0042010,C0018338,C0042010 -> C0041921 -> C0034288 -> C0018338 -> C0018346 -> C0018328 -> C0027303 -> C0597067 -> C0042010
196,C0042010,C0597067,C0042010 -> C0041921 -> C0034288 -> C0018338 -> C0018346 -> C0018328 -> C0027303 -> C0597067 -> C0042010
197,C0012694,C0086073,C0012694 -> C0086073 -> C0012694
198,C0596902,C0022009,C0596902 -> C0022009 -> C0596902
199,C0025979,C1819347,C0025979 -> C1819347 -> C0025979
200,C0025979,C5380048,C0025979 -> C5380048 -> C0025979
201,C0025979,C5815486,C0025979 -> C5815486 -> C0025979
202,C0035305,C0154822,C0035305 -> C0154822 -> C0035305
203,C0035305,C1533659,C0035305 -> C0154822 -> C1533659 -> C0035305
204,C0072186,C0033474,C0072186 -> C0033474 -> C0072186
205,C0040053,C0034066,C0040053 -> C0042373 -> C0034065 -> C0494584 -> C0524702 -> C0034066 -> C0178272 -> C0042373 -> C0042487 -> C0040053
206,C0040053,C0013922,C0040053 -> C0042373 -> C0034065 -> C0013922 -> C0042373 -> C0042487 -> C0040053
207,C0040053,C0013924,C0040053 -> C0042373 -> C0034065 -> C0013922 -> C0013924 -> C0040038 -> C0040053
208,C0040053,C1704213,C0040053 -> C0042373 -> C0034065 -> C1704213 -> C0042373 -> C0042487 -> C0040053
209,C0040053,C1096458,C0040053 -> C1096458 -> C0042373 -> C0042487 -> C0040053
210,C0040053,C0155764,C0040053 -> C0042373 -> C0034065 -> C0013922 -> C0013924 -> C0155764 -> C0042373 -> C0042487 -> C0040053
211,C0040053,C0034065,C0040053 -> C0042373 -> C0034065 -> C0042373 -> C0042487 -> C0040053
212,C0040053,C0178272,C0040053 -> C0042373 -> C0034065 -> C0494584 -> C0524702 -> C0034066 -> C0178272 -> C0042373 -> C0042487 -> C0040053
213,C0040053,C0524702,C0040053 -> C0042373 -> C0034065 -> C0494584 -> C0524702 -> C0034065 -> C0042373 -> C0042487 -> C0040053
214,C0040053,C0494584,C0040053 -> C0042373 -> C0034065 -> C0494584 -> C0524702 -> C0034065 -> C0042373 -> C0042487 -> C0040053
215,C0040053,C0042373,C0040053 -> C0042373 -> C0042487 -> C0040053
216,C0040053,C0040038,C0040053 -> C0042373 -> C0034065 -> C0013922 -> C0013924 -> C0040038 -> C0040053
217,C0040053,C0042487,C0040053 -> C0042373 -> C0042487 -> C0040053
218,C0033474,C0072186,C0033474 -> C0072186 -> C0033474
219,C0029927,C0010093,C0029927 -> C0029513 -> C0010093 -> C0029927
220,C0029927,C0029513,C0029927 -> C0029513 -> C0010093 -> C0029927
221,C0039590,C0153594,C0039590 -> C0153594 -> C0039590
222,C0013146,C0349269,C0013146 -> C0349269 -> C0085762 -> C0013146
223,C0013146,C0349097,C0013146 -> C0349269 -> C0085762 -> C0349097 -> C0013146
224,C0013146,C0038580,C0013146 -> C0349269 -> C0085762 -> C0001973 -> C2919052 -> C0038580 -> C0013146
225,C0013146,C0001973,C0013146 -> C0349269 -> C0085762 -> C0001973 -> C0085762 -> C0013146
226,C0013146,C0394996,C0013146 -> C0349269 -> C0085762 -> C0001973 -> C0001969 -> C0394996 -> C0001969 -> C0497318 -> C0085762 -> C0013146
227,C0013146,C0085762,C0013146 -> C0349269 -> C0085762 -> C0013146
228,C0013146,C2919052,C0013146 -> C0349269 -> C0085762 -> C0001973 -> C2919052 -> C0038580 -> C0013146
229,C0013146,C0001969,C0013146 -> C0349269 -> C0085762 -> C0001973 -> C0001969 -> C0497318 -> C0085762 -> C0013146
230,C0013146,C1510472,C0013146 -> C1510472 -> C0013146
231,C0013146,C0497318,C0013146 -> C0349269 -> C0085762 -> C0001973 -> C0001969 -> C0497318 -> C0085762 -> C0013146
232,C0349210,C0349208,C0349210 -> C0024713 -> C0349208 -> C0024713 -> C0349210
233,C0349210,C0024713,C0349210 -> C0024713 -> C0349210
234,C0349210,C0338831,C0349210 -> C0024713 -> C0349208 -> C0338831 -> C0349208 -> C0024713 -> C0349210
235,C0525045,C0013415,C0525045 -> C0011581 -> C0013415 -> C1269683 -> C0525045
236,C0525045,C0012706,C0525045 -> C0011581 -> C0013415 -> C0012706 -> C0525045
237,C0525045,C0010598,C0525045 -> C0011581 -> C0013415 -> C0010598 -> C0525045
238,C0525045,C0001723,C0525045 -> C0011581 -> C0349217 -> C1269683 -> C0001723 -> C0525045
239,C0525045,C0011581,C0525045 -> C0011581 -> C0349217 -> C1269683 -> C0525045
240,C0525045,C2362914,C0525045 -> C0011581 -> C0013415 -> C1269683 -> C2362914 -> C0525045
241,C0525045,C0005586,C0525045 -> C0011581 -> C0013415 -> C0010598 -> C0005586 -> C0525045
242,C0525045,C0349217,C0525045 -> C0011581 -> C0349217 -> C1269683 -> C0525045
243,C0525045,C0005587,C0525045 -> C0011581 -> C0013415 -> C0010598 -> C0005586 -> C0005587 -> C2362914 -> C0525045
244,C0525045,C1269683,C0525045 -> C0011581 -> C0349217 -> C1269683 -> C0525045
245,C0029464,C0029454,C0029464 -> C0029454 -> C0029464
246,C0518988,C0000833,C0518988 -> C0000833 -> C0016397 -> C0399424 -> C0518988
247,C0518988,C0399424,C0518988 -> C0399424 -> C0518988
248,C0518988,C0031024,C0518988 -> C0399424 -> C0031024 -> C0518988
249,C0518988,C0016397,C0518988 -> C0000833 -> C0016397 -> C0399424 -> C0518988
250,C0000889,C0221270,C0000889 -> C0221270 -> C0000889
251,C0520753,C0496026,C0520753 -> C0016546 -> C0496026 -> C0520753
252,C0520753,C0016546,C0520753 -> C0016546 -> C0496026 -> C0520753
253,C0002871,C0472702,C0002871 -> C0472702 -> C0002871
254,C0019552,C0030786,C0019552 -> C3887652 -> C0030786 -> C0019552
255,C0019552,C3887652,C0019552 -> C3887652 -> C0030786 -> C0019552
256,C1542178,C0159852,C1542178 -> C0159852 -> C1542178
257,C0018099,C0409908,C0018099 -> C0409909 -> C0409908 -> C0018099
258,C0018099,C0409909,C0018099 -> C0409909 -> C0018099
259,C0495557,C0266211,C0495557 -> C0266211 -> C0495557
260,C0035647,C0687742,C0035647 -> C0687742 -> C0814769 -> C0035647
261,C0035647,C0814769,C0035647 -> C0687742 -> C0814769 -> C0035647
262,C0016658,C0497278,C0016658 -> C0497278 -> C0016658
263,C0023895,C0085605,C0023895 -> C0085605 -> C0023895
264,C0023895,C0086565,C0023895 -> C0085605 -> C0086565 -> C0023895
265,C0023895,C0348751,C0023895 -> C0085605 -> C0348751 -> C0023895
266,C0012242,C0476288,C0012242 -> C0013395 -> C0476288 -> C0012242
267,C0012242,C0947624,C0012242 -> C0013395 -> C0392176 -> C0947624 -> C0017178 -> C0012242
268,C0012242,C0000737,C0012242 -> C0013395 -> C0221490 -> C0232492 -> C0000737 -> C0476288 -> C0012242
269,C0012242,C0494741,C0012242 -> C0013395 -> C0494741 -> C0012242
270,C0012242,C0232492,C0012242 -> C0013395 -> C0221490 -> C0232492 -> C0017178 -> C0012242
271,C0012242,C0729555,C0012242 -> C0013395 -> C0017178 -> C4082764 -> C0729555 -> C0017178 -> C0012242
272,C0012242,C0232459,C0012242 -> C0013395 -> C0232459 -> C0017178 -> C0012242
273,C0012242,C0221490,C0012242 -> C0013395 -> C0221490 -> C0232492 -> C0017178 -> C0012242
274,C0012242,C0013395,C0012242 -> C0013395 -> C0494741 -> C0012242
275,C0012242,C0232493,C0012242 -> C0013395 -> C0221490 -> C0232492 -> C0232493 -> C0232492 -> C0017178 -> C0012242
276,C0012242,C0037089,C0012242 -> C0013395 -> C0221490 -> C0232492 -> C0687713 -> C0426576 -> C0037089 -> C0017178 -> C0012242
277,C0012242,C0156086,C0012242 -> C0013395 -> C0156086 -> C0017178 -> C0012242
278,C0012242,C0017178,C0012242 -> C0013395 -> C0017178 -> C0012242
279,C0012242,C0947625,C0012242 -> C0013395 -> C0392176 -> C0947625 -> C0017178 -> C0012242
280,C0012242,C0559031,C0012242 -> C0013395 -> C0392176 -> C0156084 -> C0559031 -> C0017178 -> C0012242
281,C0012242,C0426576,C0012242 -> C0013395 -> C0221490 -> C0232492 -> C0687713 -> C0426576 -> C0037089 -> C0017178 -> C0012242
282,C0012242,C0156084,C0012242 -> C0013395 -> C0392176 -> C0156084 -> C0494741 -> C0012242
283,C0012242,C0348731,C0012242 -> C0013395 -> C0392176 -> C0348731 -> C0494741 -> C0012242
284,C0012242,C0038354,C0012242 -> C0013395 -> C0392176 -> C0156084 -> C0038354 -> C0494741 -> C0012242
285,C0012242,C0235295,C0012242 -> C0013395 -> C0392176 -> C0235295 -> C0017178 -> C0012242
286,C0012242,C4082764,C0012242 -> C0013395 -> C0017178 -> C4082764 -> C0017178 -> C0012242
287,C0012242,C0392176,C0012242 -> C0013395 -> C0392176 -> C0017178 -> C0012242
288,C0012242,C0232487,C0012242 -> C0013395 -> C0232487 -> C0017178 -> C0012242
289,C0012242,C0687713,C0012242 -> C0013395 -> C0221490 -> C0232492 -> C0687713 -> C0476288 -> C0012242
290,C0029429,C0152091,C0029429 -> C0152091 -> C0029429
291,C0175649,C0524929,C0175649 -> C0524929 -> C0175649
292,C0032952,C0010583,C0032952 -> C0107744 -> C0110666 -> C0010583 -> C0107744 -> C0110666 -> C0032952
